"date","currency","open","high","low","close"
"2022-03-14","ETH",2516.83,2608.14,2503.88,2591.45
"2022-03-15","ETH",2591.45,2668.8,2512,2619.61
"2022-03-16","ETH",2619.61,2787.84,2607.23,2773.67
"2022-03-17","ETH",2775.15,2835.17,2750.42,2814.64
"2022-03-18","ETH",2814.64,2978.26,2771.37,2941.32
"2022-03-19","ETH",2941.32,2983.2,2907.12,2952.64
"2022-03-20","ETH",2952.64,2963.95,2820.11,2861.26
"2022-03-21","ETH",2861.26,2960.6,2834.51,2895.01
"2022-03-22","ETH",2895.01,3049.24,2888.86,2970.47
"2022-03-23","ETH",2970.47,3038.65,2926.7,3037.3
"2022-03-24","ETH",3037.3,3129.44,3004.26,3112.85
"2022-03-25","ETH",3112.85,3193.97,3080.87,3104.04
"2022-03-26","ETH",3104.04,3153.55,3086.7,3146.36
"2022-03-27","ETH",3146.36,3299.22,3128.13,3296.46
"2022-03-28","ETH",3296.46,3433.9,3276.53,3334.29
"2022-03-29","ETH",3334.29,3481.81,3331.97,3402.62
"2022-03-30","ETH",3402.62,3443.99,3340.85,3385.11
"2022-03-31","ETH",3385.11,3445.59,3261.99,3282.78
"2022-04-01","ETH",3282.78,3481.39,3214.41,3455.72
"2022-04-02","ETH",3455.72,3531.17,3435.66,3440.49
"2022-04-03","ETH",3444.68,3580.76,3414.24,3521.74
"2022-04-04","ETH",3522.49,3546.88,3408.47,3520.15
"2022-04-05","ETH",3520.15,3553.56,3397.01,3406.48
"2022-04-06","ETH",3406.48,3407.48,3162.57,3168.91
"2022-04-07","ETH",3168.91,3269.19,3143.89,3229.28
"2022-04-08","ETH",3229.28,3313.28,3174.37,3192.92
"2022-04-09","ETH",3192.92,3268.83,3183.1,3259.62
"2022-04-10","ETH",3259.62,3308.86,3191.99,3202.89
"2022-04-11","ETH",3202.89,3214.49,2950.95,2979.52
"2022-04-12","ETH",2979.52,3086.55,2951.54,3028.77
"2022-04-13","ETH",3028.77,3129.24,2997.92,3118.5
"2022-04-14","ETH",3118.5,3144.41,2976.71,3021.76
"2022-04-15","ETH",3021.76,3058.39,2994.32,3041.21
"2022-04-16","ETH",3041.21,3086.29,3011.45,3060.28
"2022-04-17","ETH",3060.28,3082.05,2982.78,2988.4
"2022-04-18","ETH",2988.4,3070.29,2883.58,3056.2
"2022-04-19","ETH",3056.2,3131.65,3030.72,3102.52
"2022-04-20","ETH",3102.52,3167.34,3036.35,3077.74
"2022-04-21","ETH",3077.74,3179.21,2943.42,2988.12
"2022-04-22","ETH",2984.24,3033.2,2933.76,2963.17
"2022-04-23","ETH",2963.17,2979.17,2917.56,2933.65
"2022-04-24","ETH",2933.65,2967.57,2912.94,2922.37
"2022-04-25","ETH",2922.37,3026.15,2798.58,3009.1
"2022-04-26","ETH",3006.45,3037.19,2768.64,2809.6
"2022-04-27","ETH",2809.6,2919.74,2795.23,2889.72
"2022-04-28","ETH",2889.72,2979.81,2855.11,2936.49
"2022-04-29","ETH",2936.49,2945.97,2776.18,2817.23
"2022-04-30","ETH",2817.23,2841.57,2717.75,2726.98
"2022-05-01","ETH",2726.98,2848.48,2717.45,2826.04
"2022-05-02","ETH",2826.04,2882.32,2777.75,2856.12
"2022-05-03","ETH",2856.12,2861.43,2754.39,2780.63
"2022-05-04","ETH",2780.63,2967.75,2770.84,2939.42
"2022-05-05","ETH",2940.31,2953.25,2691.89,2747.28
"2022-05-06","ETH",2747.28,2757.11,2633.94,2692.08
"2022-05-07","ETH",2692.08,2703.39,2589.82,2635.19
"2022-05-08","ETH",2635.19,2641.2,2486.56,2509.99
"2022-05-09","ETH",2519.08,2529.04,2224.84,2230.95
"2022-05-10","ETH",2230.95,2457.17,2200.52,2341.58
"2022-05-11","ETH",2341.58,2450.75,2003.31,2077.83
"2022-05-12","ETH",2077.83,2180.84,1713.99,1952.81
"2022-05-13","ETH",1952.81,2143.61,1936.1,2006.51
"2022-05-14","ETH",2006.51,2066.02,1947.83,2054.03
"2022-05-15","ETH",2054.03,2160.61,1998.56,2143.12
"2022-05-16","ETH",2143.12,2143.2,1977.84,2019.23
"2022-05-17","ETH",2020.12,2119.84,2006.05,2089.29
"2022-05-18","ETH",2089.29,2108.35,1906.04,1911.68
"2022-05-19","ETH",1911.68,2038.92,1900.91,2017.78
"2022-05-20","ETH",2017.78,2061.81,1920.61,1956.88
"2022-05-21","ETH",1956.88,1987.79,1935.87,1972.87
"2022-05-22","ETH",1972.87,2053.49,1963.85,2041.08
"2022-05-23","ETH",2041.08,2086.6,1955.11,1970.7
"2022-05-24","ETH",1970.7,1991.09,1910.52,1977.85
"2022-05-25","ETH",1977.85,2019.8,1933.25,1941.04
"2022-05-26","ETH",1941.04,1963.52,1741.21,1791
"2022-05-27","ETH",1791,1820.36,1706.95,1724.73
"2022-05-28","ETH",1724.73,1807.77,1720.57,1790.79
"2022-05-29","ETH",1790.79,1824.64,1763.04,1811.69
"2022-05-30","ETH",1811.69,2011.23,1802.61,1997.64
"2022-05-31","ETH",1997.64,2015.05,1925.15,1940.59
"2022-06-01","ETH",1940.59,1971.79,1764.1,1817.42
"2022-06-02","ETH",1817.42,1851.73,1782.17,1833.26
"2022-06-03","ETH",1833.26,1842.2,1737.3,1773.59
"2022-06-04","ETH",1773.59,1814.31,1747.45,1803.65
"2022-06-05","ETH",1803.65,1828.49,1771.7,1804.7
"2022-06-06","ETH",1804.7,1918.1,1803.59,1858.56
"2022-06-07","ETH",1858.56,1872.07,1725.54,1812.7
"2022-06-08","ETH",1812.7,1836.67,1765.24,1791.03
"2022-06-09","ETH",1791.03,1831.74,1776.37,1787.71
"2022-06-10","ETH",1787.71,1802.8,1654.64,1661.1
"2022-06-11","ETH",1661.1,1680.39,1500.36,1530.28
"2022-06-12","ETH",1530.28,1544.55,1426.49,1434.02
"2022-06-13","ETH",1434.02,1452.8,1165.61,1209.12
"2022-06-14","ETH",1209.12,1264.08,1075.44,1206.94
"2022-06-15","ETH",1206.94,1244.06,1014.07,1236.89
"2022-06-16","ETH",1236.89,1255.9,1050.94,1067.86
"2022-06-17","ETH",1067.1,1116.32,1050.3,1085.21
"2022-06-18","ETH",1085.21,1096.22,883.48,993.72
"2022-06-19","ETH",994.41,1155.62,934.96,1127.03
"2022-06-20","ETH",1127.03,1166.85,1051.76,1126.99
